,Symbol,Company Name,CMP
0,RELIANCE.NS,Reliance Industries Limited,2209.649902
1,TCS.NS,Tata Consultancy Services Limited,3141.25
2,HDFCBANK.NS,HDFC Bank Limited,1520.550049
3,INFY.NS,Infosys Limited,1389.650024
4,HINDUNILVR.NS,Hindustan Unilever Limited,2363.25
5,HDFC.NS,Housing Development Finance Corporation Limited,2584
6,ICICIBANK.NS,ICICI Bank Limited,650.25
7,KOTAKBANK.NS,Kotak Mahindra Bank Limited,1814.199951
8,SBIN.NS,State Bank of India,439.6499939
9,BAJFINANCE.NS,Bajaj Finance Limited,5901.5
10,BHARTIARTL.NS,Bharti Airtel Limited,532.0499878
11,ITC.NS,ITC Limited,209.0500031
12,HCLTECH.NS,HCL Technologies Limited,939.4500122
13,ASIANPAINT.NS,Asian Paints Limited,2935.350098
14,WIPRO.NS,Wipro Limited,539.0499878
15,AXISBANK.NS,Axis Bank Limited,750.6500244
16,MARUTI.NS,Maruti Suzuki India Limited,7209.5
17,LT.NS,Larsen & Toubro Limited,1510.849976
18,ULTRACEMCO.NS,UltraTech Cement Limited,6641.700195
19,DMART.NS,Avenue Supermarts Limited,3192.699951
20,ADANIGREEN.NS,Adani Green Energy Limited,1286.900024
21,BAJAJFINSV.NS,Bajaj Finserv Limited,11819.84961
22,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,675.5
23,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,825.2999878
24,HDFCLIFE.NS,HDFC Life Insurance Company Limited,678.4500122
25,TITAN.NS,Titan Company Limited,1691.199951
26,ONGC.NS,Oil & Natural Gas Corporation Limited,122.5
27,HINDZINC.NS,Hindustan Zinc Limited,324.7000122
28,ADANIENT.NS,Adani Enterprises Limited,1583.099976
29,JSWSTEEL.NS,JSW Steel Limited,714.0999756
30,POWERGRID.NS,Power Grid Corporation of India Limited,226.3000031
31,SHREECEM.NS,SHREE CEMENT LIMITED,28348.15039
32,BAJAJ-AUTO.NS,Bajaj Auto Limited,4273.350098
33,ATGL.NS,Adani Total Gas Limited,1620.400024
34,NTPC.NS,NTPC Limited,111.8000031
35,TATAMOTORS.NS,Tata Motors Limited,325.6499939
36,ADANITRANS.NS,Adani Transmission Limited,1577.900024
37,M&M.NS,Mahindra & Mahindra Limited,802.0499878
38,DIVISLAB.NS,Divi's Laboratories Limited,4232.200195
39,TECHM.NS,Tech Mahindra Limited,1014.349976
40,DABUR.NS,Dabur India Limited,540.7999878
41,GRASIM.NS,Grasim Industries Limited,1458.75
42,BPCL.NS,Bharat Petroleum Corporation Limited,473.8999939
43,PIDILITIND.NS,Pidilite Industries Limited,2080.449951
44,TATASTEEL.NS,Tata Steel Limited,1122
45,SBILIFE.NS,SBI Life Insurance Company Limited,986.8499756
46,BRITANNIA.NS,Britannia Industries Limited,3496.25
47,SBICARD.NS,SBI Cards and Payment Services Limited,1051.349976
48,IOC.NS,Indian Oil Corporation Limited,112.4499969
49,VEDL.NS,Vedanta Limited,277.4500122
50,COALINDIA.NS,Coal India Limited,149.0500031
51,DRREDDY.NS,Dr. Reddy's Laboratories Limited,5282.549805
52,GODREJCP.NS,Godrej Consumer Products Limited,864.3499756
53,BERGEPAINT.NS,Berger Paints (I) Limited,800.5499878
54,INDUSINDBK.NS,IndusInd Bank Limited,1005.75
55,HINDALCO.NS,Hindalco Industries Limited,399.2000122
56,EICHERMOT.NS,Eicher Motors Limited,2767.75
57,DLF.NS,DLF Limited,297.6499939
58,LTI.NS,Larsen & Toubro Infotech Limited,3837.5
59,INDUSTOWER.NS,Indus Towers Limited,246.3999939
60,HAVELLS.NS,Havells India Limited,1072.550049
61,CIPLA.NS,Cipla Limited,948.25
62,SIEMENS.NS,Siemens Limited,2140.699951
63,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,1474.800049
64,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,569.7000122
65,MOTHERSUMI.NS,Motherson Sumi Systems Limited,250.5500031
66,INDIGO.NS,InterGlobe Aviation Limited,1764.599976
67,HDFCAMC.NS,HDFC Asset Management Company Limited,3051.100098
68,AMBUJACEM.NS,Ambuja Cements Limited,333.9500122
69,GAIL.NS,GAIL (India) Limited,161.0500031
70,TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED,680
71,HEROMOTOCO.NS,Hero MotoCorp Limited,3008.350098
72,NAUKRI.NS,Info Edge (India) Limited,4579.850098
73,BANDHANBNK.NS,Bandhan Bank Limited,317.7000122
74,MARICO.NS,Marico Limited,496.4500122
75,AUROPHARMA.NS,Aurobindo Pharma Limited,967.8499756
76,BIOCON.NS,Biocon Limited,385.1000061
77,UPL.NS,UPL Limited,840.25
78,MUTHOOTFIN.NS,Muthoot Finance Limited,1511.699951
79,LUPIN.NS,Lupin Limited,1232.400024
80,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,569.6500244
81,CADILAHC.NS,Cadila Healthcare Limited,634.4000244
82,TORNTPHARM.NS,Torrent Pharmaceuticals Limited,2775.199951
83,COLPAL.NS,Colgate Palmolive (India) Limited,1714.400024
84,HONAUT.NS,Honeywell Automation India Limited,41945.55078
85,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,3425.649902
86,BOSCHLTD.NS,Bosch Limited,15552.0498
87,IDBI.NS,IDBI Bank Limited,38.79999924
88,PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,12799.09961
89,GLAND.NS,Gland Pharma Limited,3180.550049
90,MCDOWELL-N.NS,United Spirits Limited,614.2000122
91,NMDC.NS,NMDC Limited,185.6000061
92,PEL.NS,Piramal Enterprises Limited,1841.150024
93,GODREJPROP.NS,Godrej Properties Limited,1406.599976
94,YESBANK.NS,Yes Bank Limited,13.5
95,JUBLFOOD.NS,Jubilant Foodworks Limited,3176.600098
96,PNB.NS,Punjab National Bank,43.70000076
97,AUBANK.NS,AU Small Finance Bank Limited,1006.700012
98,BANKBARODA.NS,Bank of Baroda,81.80000305
99,GUJGASLTD.NS,Gujarat Gas Limited,580.75
100,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,3528.649902
101,CONCOR.NS,Container Corporation of India Limited,707.7999878
102,SRTRANSFIN.NS,Shriram Transport Finance Company Limited,1417.699951
103,IGL.NS,Indraprastha Gas Limited,526.4500122
104,ACC.NS,ACC Limited,2027.349976
105,JINDALSTEL.NS,Jindal Steel & Power Limited,397.3999939
106,GICRE.NS,General Insurance Corporation of India,200
107,MRF.NS,MRF Limited,84471
108,HINDPETRO.NS,Hindustan Petroleum Corporation Limited,287.6499939
109,MINDTREE.NS,MindTree Limited,2371.050049
110,3MINDIA.NS,3M India Limited,26261.80078
111,PIIND.NS,PI Industries Limited,2676.449951
112,PAGEIND.NS,Page Industries Limited,30470.44922
113,PETRONET.NS,Petronet LNG Limited,247
114,ASHOKLEY.NS,Ashok Leyland Limited,124.3499985
115,HAL.NS,Hindustan Aeronautics Limited,1049.099976
116,MPHASIS.NS,MphasiS Limited,1919.699951
117,VOLTAS.NS,Voltas Limited,1111.550049
118,ALKEM.NS,Alkem Laboratories Limited,3178.449951
119,TATAPOWER.NS,Tata Power Company Limited,108.6500015
120,UBL.NS,United Breweries Limited,1267.25
121,ADANIPOWER.NS,Adani Power Limited,100.75
122,BALKRISIND.NS,Balkrishna Industries Limited,2218.899902
123,SAIL.NS,Steel Authority of India Limited,122.3499985
124,ASTRAL.NS,Astral Poly Technik Limited,1892
125,KANSAINER.NS,Kansai Nerolac Paints Limited,575.2000122
126,SRF.NS,SRF Limited,6586.25
127,IDFCFIRSTB.NS,IDFC First Bank Limited,60.65000153
128,BEL.NS,Bharat Electronics Limited,151.1999969
129,TATACOMM.NS,Tata Communications Limited,1121.699951
130,PFC.NS,Power Finance Corporation Limited,120.75
131,IRFC.NS,Indian Railway Finance Corporation Limited,23.60000038
132,ABB.NS,ABB India Limited,1691.949951
133,DALBHARAT.NS,Dalmia Bharat Limited,1788.099976
134,MFSL.NS,Max Financial Services Limited,959.0499878
135,VBL.NS,Varun Beverages Limited,1027.949951
136,ABCAPITAL.NS,Aditya Birla Capital Limited,124.0999985
137,SUNDARMFIN.NS,Sundaram Finance Limited,2527.949951
138,WHIRLPOOL.NS,Whirlpool of India Limited,2197.449951
139,IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,1921.800049
140,LTTS.NS,L&T Technology Services Limited,2701.649902
141,TVSMOTOR.NS,TVS Motor Company Limited,624.9000244
142,BHARATFORG.NS,Bharat Forge Limited,695.9000244
143,OFSS.NS,Oracle Financial Services Software Limited,3532.800049
144,TRENT.NS,Trent Limited,854.75
145,IDEA.NS,Vodafone Idea Limited,9.350000381
146,IOB.NS,Indian Overseas Bank,17.5
147,SUPREMEIND.NS,Supreme Industries Limited,2267.649902
148,RECLTD.NS,REC Limited,148.1499939
149,CUMMINSIND.NS,Cummins India Limited,809.0499878
150,NIACL.NS,The New India Assurance Company Limited,169.4499969
151,CANBK.NS,Canara Bank,163.25
152,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,410
153,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,162.8500061
154,NHPC.NS,NHPC Limited,25.95000076
155,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,1520.650024
156,IPCALAB.NS,IPCA Laboratories Limited,2088.25
157,L&TFH.NS,L&T Finance Holdings Limited,93.40000153
158,RAMCOCEM.NS,The Ramco Cements Limited,985.8499756
159,INDIAMART.NS,Indiamart Intermesh Limited,6895.25
160,TIINDIA.NS,Tube Investments of India Limited,1194.050049
161,AARTIIND.NS,Aarti Industries Limited,1673.900024
162,COROMANDEL.NS,Coromandel International Limited,810.5
163,DEEPAKNTR.NS,Deepak Nitrite Limited,1740.25
164,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,2899.100098
165,JKCEMENT.NS,JK Cement Limited,2843.800049
